datetime,number of records
2016-05-02T07:10:00.000Z,80910
2016-05-02T07:20:00.000Z,27621
2016-05-02T07:30:00.000Z,7230
2016-05-02T07:40:00.000Z,3183
2016-05-02T07:50:00.000Z,2420
2016-05-02T08:00:00.000Z,2044
2016-05-02T08:10:00.000Z,2115
2016-05-02T08:20:00.000Z,1662
2016-05-02T08:30:00.000Z,2101
2016-05-02T08:40:00.000Z,1769
2016-05-02T08:50:00.000Z,1732
2016-05-02T09:00:00.000Z,1422
2016-05-02T09:10:00.000Z,1056
2016-05-02T09:20:00.000Z,1104
2016-05-02T09:30:00.000Z,1048
2016-05-02T09:40:00.000Z,1128
2016-05-02T09:50:00.000Z,1393
2016-05-02T10:00:00.000Z,1006
2016-05-02T10:10:00.000Z,1042
2016-05-02T10:20:00.000Z,1094
2016-05-02T10:30:00.000Z,1087
2016-05-02T10:40:00.000Z,1828
2016-05-02T10:50:00.000Z,1537
2016-05-02T11:00:00.000Z,1960
2016-05-02T11:10:00.000Z,3055
2016-05-02T11:20:00.000Z,1147
2016-05-02T11:30:00.000Z,1129
2016-05-02T11:40:00.000Z,1087
2016-05-02T11:50:00.000Z,1101
2016-05-02T12:00:00.000Z,1121
2016-05-02T12:10:00.000Z,1231
2016-05-02T12:20:00.000Z,1131
2016-05-02T12:30:00.000Z,1176
2016-05-02T12:40:00.000Z,1185
2016-05-02T12:50:00.000Z,1179
2016-05-02T13:00:00.000Z,1297
2016-05-02T13:10:00.000Z,1060
2016-05-02T13:20:00.000Z,1262
2016-05-02T13:30:00.000Z,1137
2016-05-02T13:40:00.000Z,975
2016-05-02T13:50:00.000Z,1336
2016-05-02T14:00:00.000Z,1325
2016-05-02T14:10:00.000Z,1473
2016-05-02T14:20:00.000Z,1052
2016-05-02T14:30:00.000Z,1115
2016-05-02T14:40:00.000Z,1085
2016-05-02T14:50:00.000Z,1194
2016-05-02T15:00:00.000Z,1147
2016-05-02T15:10:00.000Z,953
2016-05-02T15:20:00.000Z,1652
2016-05-02T15:30:00.000Z,1298
2016-05-02T15:40:00.000Z,1005
2016-05-02T15:50:00.000Z,1069
2016-05-02T16:00:00.000Z,983
2016-05-02T16:10:00.000Z,759
2016-05-02T16:20:00.000Z,1056
2016-05-02T16:30:00.000Z,1007
2016-05-02T16:40:00.000Z,980
2016-05-02T16:50:00.000Z,1006
2016-05-02T17:00:00.000Z,1688
2016-05-02T17:10:00.000Z,1577
2016-05-02T17:20:00.000Z,1532
2016-05-02T17:30:00.000Z,1496
2016-05-02T17:40:00.000Z,1348
2016-05-02T17:50:00.000Z,1343
2016-05-02T18:00:00.000Z,2511
2016-05-02T18:10:00.000Z,2191
2016-05-02T18:20:00.000Z,2140
2016-05-02T18:30:00.000Z,2505
2016-05-02T18:40:00.000Z,2119
2016-05-02T18:50:00.000Z,2561
2016-05-02T19:00:00.000Z,2504
2016-05-02T19:10:00.000Z,2166
2016-05-02T19:20:00.000Z,2282
2016-05-02T19:30:00.000Z,2147
2016-05-02T19:40:00.000Z,1822
2016-05-02T19:50:00.000Z,2108
2016-05-02T20:00:00.000Z,1797
2016-05-02T20:10:00.000Z,2175
2016-05-02T20:20:00.000Z,2071
2016-05-02T20:30:00.000Z,1724
2016-05-02T20:40:00.000Z,2532
2016-05-02T20:50:00.000Z,2232
2016-05-02T21:00:00.000Z,2438
2016-05-02T21:10:00.000Z,1751
2016-05-02T21:20:00.000Z,2513
2016-05-02T21:30:00.000Z,2208
2016-05-02T21:40:00.000Z,2349
2016-05-02T21:50:00.000Z,2346
2016-05-02T22:00:00.000Z,2020
2016-05-02T22:10:00.000Z,2000
2016-05-02T22:20:00.000Z,2067
2016-05-02T22:30:00.000Z,1767
2016-05-02T22:40:00.000Z,2240
2016-05-02T22:50:00.000Z,1873
2016-05-02T23:00:00.000Z,2588
2016-05-02T23:10:00.000Z,1760
2016-05-02T23:20:00.000Z,1927
2016-05-02T23:30:00.000Z,1718
2016-05-02T23:40:00.000Z,1912
2016-05-02T23:50:00.000Z,2222
2016-05-03T00:00:00.000Z,1936
2016-05-03T00:10:00.000Z,2038
2016-05-03T00:20:00.000Z,2028
2016-05-03T00:30:00.000Z,2033
2016-05-03T00:40:00.000Z,2035
2016-05-03T00:50:00.000Z,2107
2016-05-03T01:00:00.000Z,2372
2016-05-03T01:10:00.000Z,1489
2016-05-03T01:20:00.000Z,2008
2016-05-03T01:30:00.000Z,1871
2016-05-03T01:40:00.000Z,1855
2016-05-03T01:50:00.000Z,1557
2016-05-03T02:00:00.000Z,1618
2016-05-03T02:10:00.000Z,1930
2016-05-03T02:20:00.000Z,2220
2016-05-03T02:30:00.000Z,1907
2016-05-03T02:40:00.000Z,1788
2016-05-03T02:50:00.000Z,2319
2016-05-03T03:00:00.000Z,1303
2016-05-03T03:10:00.000Z,1242
2016-05-03T03:20:00.000Z,1096
2016-05-03T03:30:00.000Z,1186
2016-05-03T03:40:00.000Z,1184
2016-05-03T03:50:00.000Z,1088
2016-05-03T04:00:00.000Z,99
